Leaderboard Position, Player, Sunday Score, Total Score
1,D. Johnson,-4,-20
2,C. Smith,-3,-15
2,S.J. Im,-3,-15
4,J. Thomas,-2,-12
5,D. Frittelli,0,-11
5,R. McIlroy,-3,-11
7,C.T. Pan,-4,-10
7,J. Rahm,-1,-10
7,B. Koepka,-2,-10
10,C. Conners,-3,-9
10,W. Simpson,-4,-9
10,P. Reed,0,-9
13,M. Leishman,-4,-8
13,H. Matsuyama,0,-8
13,K. Na,-2,-8
13,A. Ancer,4,-8
17,X. Schauffele,-2,-7
17,P. Cantlay,0,-7
19,S. Scheffler,-1,-6
19,S. Muñoz,3,-6
19,T. Fleetwood,2,-6
19,C. Champ,0,-6
23,L. Oosthuizen,-2,-5
23,J. Rose,-2,-5
23,S. Lowry,1,-4
25,C. Schwartzel,-1,-4
25,I. Poulter,-2,-4
25,D. Willett,1,-4
29,N. Taylor,0,-3
29,S. Kang,-2,-3
29,R. Fowler,-2,-3
29,C. Reavie,-2,-3
29,B. Langer,-1,-3
34,B. DeChambeau,1,-2
34,A. Ogletree,0,-2
34,S. Kim,0,-2
34,A. Scott,1,-2
38,L. Westwood,2,-1
38,T. Finau,0,-1
38,P. Casey,5,-1
38,T. Woods,4,-1
38,B. Horschel,3,-1
38,C. Bezuidenhout,-1,-1
44,S. Imahira,2,0
44,C. Morikawa,2,0
46,C. Howell-III,2,1
46,J. Spieth,0,1
46,M. Wallace,5,1
46,M. Fitzpatrick,0,1
46,V. Perez,0,1
51,J. Janewattananond,3,2
51,M. Weir,4,2
51,R. Cabrera-Bello,0,2
51,Z. Johnson,1,2
55,J. Augenstein,3,3
55,P. Mickelson,1,3
57,B. Watson,6,4
58,B. Wiesberger,1,6
59,B. Snedeker,2,7
60,J. Walker,4,8
